case,att,pct_effect,p_rmspe,p_att,rmspe_pre,n_donors,l2,overfit_ratio,deflated
Shirdi,-0.27838429367852563,-24.299414695468748,0.1375,0.075,0.029697550265722142,79,0.0,0.8952945523642963,True
ShirdiOpenPool,-0.27370004382319085,-23.943982422834896,0.17777777777777778,0.08888888888888889,0.029661179181782148,89,0.0,0.8941980702294501,True
ShirdiMHOnly,-0.1250151651335074,-11.75164804972738,0.9090909090909091,0.45454545454545453,0.17456465295718954,10,0.0004247461254111431,5.262615314379211,True
Prayagraj,-0.20670822945276282,-18.6743100214669,0.125,0.1527777777777778,0.031028653710416756,71,0.0,0.7571604297602056,True
Kartarpur,-0.10223135634979738,-9.717934578614829,0.8953488372093024,0.46511627906976744,0.1252433584027715,85,0.6412661833970645,0.42878342535646197,True
